标题,区域,地段,小区,空间,面积,朝向,装修,楼层,建成时间,构筑物,单价每平,总价,关注,距今发布日期
中航物业!交通便利!品质小区！精装户型方正好房！,渝北,空港新城,中航翡翠城一期二组团,3室2厅,91.81平米,东南,精装,高楼层(共33层),,板塔结合,"13,724元/平",126,8人关注,5个月以前发布
龙头寺三轻轨旁 仁安龙城国际 精装三房 拎包入住,渝北,龙头寺,仁安龙城国际二期,3室2厅,97.24平米,南,精装,高楼层(共22层),2014年建,塔楼,"16,660元/平",162,40人关注,2个月以前发布
户型方方正正，小区闹中取静，三大公园包围。,渝北,照母山,协信星都会,2室2厅,62.88平米,南,精装,33层,2014年建,塔楼,"18,289元/平",115,12人关注,2个月以前发布
照母山精装修两房，视野看湖看别墅，业主急售,渝北,照母山,融创凡尔赛领馆Ⅰ,2室1厅,76.21平米,东,精装,中楼层(共33层),2014年建,塔楼,"17,059元/平",130,42人关注,1个月以前发布
此房装修保养好无抵押交易方便客厅挑高3.9米业主诚心,渝北,汽博中心,奥林匹克花园新亚洲,3室2厅,104.58平米,东南,精装,18层,2008年建,塔楼,"14,630元/平",153,61人关注,3个月以前发布
精致修一改二两房户型拎包入住业主诚心出售,渝北,龙溪,长安锦绣城,2室1厅,63.74平米,西南,精装,中楼层(共33层),2015年建,塔楼,"18,199元/平",116,27人关注,2个月以前发布
照母山万科品质  装修三房 总价低,渝北,照母山,万科城,3室2厅,110.18平米,东南,精装,26层,2014年建,塔楼,"15,248元/平",168,41人关注,3个月以前发布
"业主诚心售，出行方便，配套完善 ,位置好，视野好",渝北,汽博中心,枫桥水郡,3室2厅,115.52平米,东,简装,低楼层(共18层),2004年建,塔楼,"8,484元/平",98,30人关注,3个月以前发布
阳台和主卧室可以看湖，南北，视野开阔,渝北,回兴,丽源岛,2室1厅,94.51平米,南,精装,中楼层(共11层),,板楼,"8,465元/平",80,16人关注,1个月以前发布
精装修正两房，视野开阔，小区安静，环境好配套成熟,渝北,回兴,金鹏两江时光,2室2厅,75.19平米,西南,精装,中楼层(共28层),2012年建,塔楼,"12,768元/平",96,32人关注,5个月以前发布
黄泥磅跃层三房 动静分区 15年的楼龄 近龙头寺公园,渝北,龙头寺,上品拾陆,3室2厅,99.47平米,西南,精装,36层,2015年建,塔楼,"14,377元/平",143,47人关注,3个月以前发布
保利F经典跃层 精装3+1保养好 业主诚心卖,渝北,龙头寺,保利香槟花园F组团,4室2厅,163.76平米,南,精装,29层,2008年建,塔楼,"13,557元/平",222,83人关注,一年前发布
红旗河沟双轻轨，精装两房户型方正采光好，居家安静。,渝北,松树桥,依云雅筑,2室1厅,66.7平米,东北,精装,低楼层(共30层),2010年建,塔楼,"15,480元/平",103.25,57人关注,3个月以前发布
新牌坊住家大三房，户型方正，视野好,渝北,新牌坊,香山花园,3室2厅,122.21平米,南,精装,高楼层(共24层),2004年建,塔楼,"10,638元/平",130,27人关注,8个月以前发布
门口轻轨站，带8平米左右露台~~,渝北,汽博中心,建工锦绣华城,3室2厅,90.4平米,南,精装,中楼层(共33层),2013年建,塔楼,"14,492元/平",131,54人关注,2个月以前发布
交通便利，出现方便，三层跃层洋房，带花园.有采光,南岸,茶园新区,银翔翡翠谷A区,4室2厅,234.98平米,南,毛坯,6层,,板楼,"10,363元/平",243.5,1人关注,10天以前发布
刘家坪轻轨站洋房四房双卫出售。近解放碑,南岸,茶园新区,融创江南融府,4室1厅,127.82平米,东南,毛坯,高楼层(共8层),2018年建,板楼,"13,660元/平",174.6,1人关注,7天以前发布
南岸五小区 精装修3房 交通方便  生活配套齐全,南岸,南坪,怡丰海韵豪苑,3室1厅,119平米,南,精装,31层,2004年建,板塔结合,"10,337元/平",123,4人关注,2天以前发布
荣盛华府御珑 4室2厅 东南,南岸,茶园新区,荣盛华府御珑,4室2厅,116.76平米,东南,毛坯,低楼层(共8层),,板楼,"15,382元/平",179.6,9人关注,6天以前发布
南坪万达商圈正规两房，业主安心卖房，看房方便,南岸,南坪,渝南佳苑,2室1厅,67.67平米,东南,精装,19层,2002年建,板塔结合,"12,266元/平",83,3人关注,8天以前发布
此房满2年，业主诚心出售，保持好，小区环境好,南岸,茶园新区,中铁北美时光,4室2厅,120.15平米,南,精装,低楼层(共12层),2015年建,板楼,"14,815元/平",178,3人关注,11天以前发布
时代都汇E组团，精装三房双卫，次新小区，带车位,南岸,茶园新区,时代都汇E组团,3室1厅,109.48平米,南,精装,25层,2018年建,板塔结合,"14,158元/平",155,4人关注,9天以前发布
诚心出售   临江大四房 安静居家,南岸,弹子石,龙湖郦江,4室2厅,135.75平米,东南,毛坯,33层,2008年建,板楼,"13,776元/平",187,12人关注,9天以前发布
南坪万达广场 大地兴城 精装三室两厅 业主急售,南岸,南坪,大地兴城,3室2厅,142.68平米,东南,精装,21层,,塔楼,"8,411元/平",120,29人关注,7天以前发布
阳光华庭 3室1厅 东 东南,南岸,南滨路,阳光华庭,3室1厅,128.36平米,东 东南,简装,29层,2004年建,板塔结合,"10,596元/平",136,5人关注,4天以前发布
弹子石CBD看来福士精装3房 业主诚心卖 环线轻轨房,南岸,弹子石,东海长洲,3室1厅,106.04平米,东南,精装,33层,2008年建,塔楼,"14,052元/平",149,3人关注,11天以前发布
弹子石小3房 精装修 交通便利,南岸,弹子石,蓝光COCO时代一期,3室2厅,51平米,西,精装,31层,2013年建,塔楼,"17,648元/平",90,2人关注,8天以前发布
融创高品质精装三房，带50平大露台，拎包入住,南岸,茶园新区,博琅郡,3室1厅,83.35平米,南 西北,精装,32层,,塔楼,"14,998元/平",125,3人关注,21天以前发布
弹子石商圈 环线轻轨旁 独立大三房 双卫,南岸,弹子石,东海长洲,3室2厅,44.63平米,东南,精装,20层,2008年建,塔楼,"18,150元/平",81,19人关注,24天以前发布
弹子石精装3房2卫，采光好；住家装修，直接拎包入住,南岸,弹子石,莫比时代,3室1厅,68.84平米,东,精装,33层,2009年建,塔楼,"13,946元/平",96,7人关注,21天以前发布
四公里双轻轨站+出门永辉+优选+诚心出售,南岸,四公里,绿洲龙城,3室2厅,127.57平米,东南,精装,11层,2004年建,板塔结合,"10,646元/平",135.8,8人关注,30天以前发布
此房为清水三房双卫，户型方正采光好出行方便。,南岸,茶园新区,保利堂悦照水园,3室2厅,121.94平米,南,毛坯,中楼层(共13层),,塔楼,"16,402元/平",200,0人关注,5天以前发布
三房双卫 双阳台 朝南采光通风好 业主诚心卖,南岸,茶园新区,奥园越时代C区,3室2厅,91.44平米,东南 南,毛坯,16层,,塔楼,"14,217元/平",130,5人关注,9天以前发布
博琅郡 3室1厅 东南,南岸,茶园新区,博琅郡,3室1厅,83.87平米,东南,精装,33层,,塔楼,"14,070元/平",118,4人关注,10天以前发布
南湖轻轨旁 此房户型方正，新装修没住 业主诚心出售,南岸,四公里,金阳罗马假日,3室2厅,90.23平米,东 东南,精装,34层,2007年建,塔楼,"13,522元/平",122,4人关注,10天以前发布
东站旁 央企大洋房 成熟配套 带屋顶露台,南岸,茶园新区,山水天下,4室2厅,102.87平米,南 北,精装,6层,,板楼,"13,124元/平",135,140人关注,10个月以前发布
近轻轨  同景国际p组团  三房  有钥匙,南岸,茶园新区,同景国际P组团,3室2厅,63.15平米,东,精装,14层,2012年建,板塔结合,"11,085元/平",70,5人关注,15天以前发布
此房品质花园洋房，生活配套设施完善,南岸,茶园新区,同景国际城I组团,4室2厅,121.14平米,南,毛坯,6层,,板楼,"9,081元/平",110,24人关注,10天以前发布
南坪商圈 正规小两房 单价低 位置便利 居家安静,南岸,南坪,知音阁,2室1厅,65.24平米,南,精装,32层,,暂无数据,"11,497元/平",75,9人关注,9天以前发布
品质融创大盘，位置安静，交通方便，享别墅环境.,南岸,茶园新区,融创伊顿濠庭,2室2厅,38.21平米,东南 南,毛坯,11层,2016年建,塔楼,"9,946元/平",38,3人关注,15天以前发布
江云渡精装底跃，装修保持好，品牌家具家电,南岸,融侨半岛,融侨城江云渡,4室2厅,200.56平米,西南,精装,11层,2012年建,板塔结合,"15,457元/平",310,1人关注,14天以前发布
融创大盘，精装两房，户型方正，奥特莱斯旁,南岸,茶园新区,融创剑桥郡一期,2室1厅,58.02平米,南,精装,33层,2015年建,塔楼,"13,789元/平",80,4人关注,8天以前发布
北斗星苑 3室2厅 南,南岸,茶园新区,北斗星苑,3室2厅,109.61平米,南,毛坯,24层,,板塔结合,"9,580元/平",105,4人关注,6天以前发布
盘龙花园，优质两房，出行方便，交通便利,南岸,弹子石,盘龙花园,2室1厅,84.73平米,东南,精装,高楼层(共17层),2008年建,塔楼,"10,859元/平",92,52人关注,6天以前发布
精装三房，户型方正，居家装修，拎包入住,南岸,茶园新区,融创铂爵郡,3室2厅,91.26平米,南,精装,33层,2018年建,塔楼,"13,698元/平",125,0人关注,3天以前发布
精装三房 入住3年 装修保持好 拎包入住中庭住家安静,南岸,丹龙路,东原亲亲里,3室2厅,98.33平米,北,精装,34层,2012年建,塔楼,"14,737元/平",144.9,6人关注,10天以前发布
蓝光COCO时代一期 3室2厅 东,南岸,弹子石,蓝光COCO时代一期,3室2厅,67.42平米,东,精装,31层,2013年建,塔楼,"18,541元/平",125,2人关注,6天以前发布
长生桥轻轨站精装修跃层带屋顶花园出售,南岸,茶园新区,长桥左岸,5室1厅,193.74平米,东南,精装,12层,2014年建,板楼,"12,233元/平",237,16人关注,19天以前发布
央企大盘 三房双卫  清水  中间楼层 看中庭,南岸,七公里,保利观塘香榭,3室2厅,82.89平米,南,毛坯,33层,,板塔结合,"15,805元/平",131,4人关注,21天以前发布
急售   天龙三期     重百背后    位置好,南岸,南坪,天龙城市花园三期,1室1厅,54.29平米,南,简装,低楼层(共33层),2007年建,塔楼,"10,942元/平",59.4,3人关注,22天以前发布
南滨路 次新小区 望江大四房 带大阳台,南岸,融侨半岛,金辉御江府,4室2厅,142.53平米,东南,毛坯,33层,,塔楼,"15,997元/平",228,22人关注,22天以前发布
金科品质高层，装修端户，采光良好，视野开阔,南岸,茶园新区,金科中央御院三期,3室2厅,83.85平米,南,精装,26层,2016年建,板塔结合,"14,073元/平",118,10人关注,18天以前发布
南山道精装三房保持好，高楼层朝南采光充足，户型端正,南岸,南滨路,和泓南山道一期,3室2厅,97.31平米,东南 南,精装,33层,2011年建,板塔结合,"13,822元/平",134.5,16人关注,16天以前发布
出门轻轨 交通方便 户型方正 没有浪费面积 小区绿化好,南岸,茶园新区,长盛花园,2室1厅,89.38平米,南,精装,6层,2010年建,板楼,"9,958元/平",89,14人关注,21天以前发布
正规两房，住家安静，诚心出售。,南岸,南坪,康德国会山,2室1厅,62.04平米,南,简装,32层,2008年建,塔楼,"14,991元/平",93,2人关注,7天以前发布
交通方便+户型采光好+视野开阔+业主诚意出售,南岸,丹龙路,芸峰天梭派,2室1厅,76.28平米,南,精装,33层,2011年建,塔楼,"14,421元/平",110,1人关注,10天以前发布
和泓南山道小两房 可拎包入住 交通便利,南岸,南滨路,和泓南山道一期,2室1厅,58.22平米,西 东,精装,33层,2011年建,塔楼,"14,085元/平",82,4人关注,5天以前发布
轻轨精装大三房，一站解放碑，两站江北嘴,南岸,南滨路,上新山水,3室1厅,123平米,西,简装,22层,2007年建,塔楼,"9,350元/平",115,8人关注,9天以前发布
鲁能五街区精装修居家3房安心出售看房方便,南岸,茶园新区,鲁能领秀城骏峰,3室2厅,81.56平米,东南,精装,21层,2017年建,板塔结合,"14,959元/平",122,12人关注,18天以前发布
正规三房 户型方正 分布合理，住家舒适 采光充足,南岸,四公里,东海金港湾,4室2厅,119.26平米,南,精装,18层,2002年建,塔楼,"9,962元/平",118.8,7人关注,30天以前发布
品质雅居乐 装修四房 看江视野开阔 拎包入住,南岸,六公里,雅居乐国际花园,4室2厅,140.68平米,东南,精装,32层,2014年建,塔楼,"17,046元/平",239.8,14人关注,25天以前发布
南坪旁+业主诚心出售+出行方便,南岸,南坪,杏园小区,2室2厅,86.01平米,南,精装,13层,,塔楼,"7,674元/平",66,4人关注,12天以前发布
近轻轨 总价低  业主诚心出售,南岸,南坪,亚太商谷,1室0厅,28.65平米,南,简装,30层,2008年建,塔楼,"11,170元/平",32,9人关注,15天以前发布
此房满两年，卧室都看江，视野不错。,南岸,南滨路,聚丰江山里,3室1厅,100平米,西北,简装,28层,2008年建,板塔结合,"10,000元/平",100,240人关注,一年前发布
视野开阔，采光一级棒，看中庭............,南岸,茶园新区,融创伊顿濠庭,3室1厅,88.16平米,东南,其他,26层,2014年建,塔楼,"14,179元/平",125,1人关注,6天以前发布
南坪东路正规三房，户型方正，采光视野好，楼层低,南岸,南坪,新华苑（南岸）,2室1厅,90.5平米,东,精装,13层,2002年建,板塔结合,"7,735元/平",70,1人关注,13天以前发布
东原亲亲里  正两房  端户  业主诚心卖  装修保持好,南岸,丹龙路,东原亲亲里,2室2厅,66.64平米,北 东北,精装,33层,2012年建,塔楼,"14,406元/平",96,13人关注,12天以前发布
环线旁龙湖精装三居室 看中庭看江大阳台 视野开阔,南岸,融侨半岛,龙湖观山水,3室2厅,97.25平米,东南,精装,29层,2007年建,塔楼,"14,602元/平",142,9人关注,9天以前发布
南滨路 板式小高层 精装大两房 看中庭 可看江 急售,南岸,六公里,美堤雅城B区,2室1厅,87.16平米,南,精装,17层,2005年建,板塔结合,"11,129元/平",97,3人关注,9天以前发布
聚丰江山里 3室2厅 南,南岸,南滨路,聚丰江山里,3室2厅,125.71平米,南,精装,20层,2008年建,板塔结合,"9,944元/平",125,3人关注,6天以前发布
精装修 拎包入住 离南坪商圈300米 低总价两房 舒服,南岸,南坪,江南大道34号,2室1厅,67平米,东,精装,中楼层(共14层),,板楼,"8,881元/平",59.5,13人关注,7天以前发布
房子是住家精装房 18年全新装修的婚房  端头户型,南岸,丹龙路,骏逸第一江岸,2室1厅,86.77平米,西南,精装,18层,2011年建,板塔结合,"13,830元/平",120,2人关注,8天以前发布
山千院东苑 2室2厅 东南,南岸,六公里,山千院东苑,2室2厅,81.79平米,东南,毛坯,中楼层(共34层),2012年建,塔楼,"11,616元/平",95,3人关注,3天以前发布
户型方正 朝西南看中庭看来福士大剧院看江 采光好,南岸,南滨路,长嘉汇四期,4室2厅,115平米,西北,毛坯,30层,2016年建,板楼,"24,783元/平",285,15人关注,8天以前发布
洋房 南北通透 板式结构 全明户型,南岸,六公里,雅居乐国际花园,3室2厅,126.26平米,南 北,毛坯,7层,2013年建,板楼,"18,217元/平",230,57人关注,10个月以前发布
轻轨房，配套成熟，永辉，精装修，业主诚心卖,南岸,茶园新区,金科世界城高层区（南岸）,3室1厅,74.11平米,东南,简装,26层,2014年建,板塔结合,"14,843元/平",110,10人关注,2个月以前发布
五公里旁+小区电梯房+户型好+出行方便,南岸,四公里,学府苑(南岸),3室2厅,101.6平米,北,简装,15层,,板塔结合,"12,008元/平",122,1人关注,2个月以前发布
同景国际城B区 4室2厅 西北,南岸,茶园新区,同景国际城B区,4室2厅,135.13平米,西北,精装,6层,,板塔结合,"9,991元/平",135,22人关注,一年前发布
通透格局，装修保持比较好，生活方便。,南岸,茶园新区,同景国际城W组团,3室1厅,53.92平米,南,精装,18层,2014年建,塔楼,"15,765元/平",85,8人关注,6个月以前发布
聚丰清水挑高三房，环线仁济轻轨站，配套齐全,南岸,南滨路,聚丰江山天下,3室2厅,106.02平米,南,毛坯,33层,2012年建,塔楼,"13,583元/平",144,20人关注,6个月以前发布
一梯两户+品质小区+人性化物业+价格便宜+出行方便,南岸,融侨半岛,融侨城江云渡,3室1厅,124.94平米,南,毛坯,11层,2012年建,板塔结合,"15,608元/平",195,34人关注,4个月以前发布
楼梯洋房+同景公园+清水+轻轨站旁,南岸,茶园新区,同景国际城I组团,5室2厅,134.27平米,南,毛坯,6层,2011年建,板楼,"9,608元/平",129,41人关注,5个月以前发布
视野看喜来登+精装修+配套成熟+出行方便,南岸,六公里,万友七季城A区,3室2厅,84.13平米,北,精装,31层,2009年建,塔楼,"13,789元/平",116,14人关注,2个月以前发布
金科品质，精装修！小高层总层高18楼！！！,南岸,茶园新区,金科中央御院二期,3室2厅,86.51平米,南 东北,精装,高楼层(共18层),2016年建,板塔结合,"13,409元/平",116,38人关注,一年前发布
南岸区 四公里 成熟社区 E时代 正规两房 急售,南岸,四公里,鑫茂源e时代,2室2厅,77.87平米,东,简装,31层,2009年建,塔楼,"10,274元/平",80,33人关注,7个月以前发布
精装两房，中间楼层住家安静，采光充足，出门就是公园,南岸,茶园新区,金科中央御院二期,2室1厅,71平米,南 北,精装,高楼层(共13层),2016年建,板塔结合,"12,395元/平",88,35人关注,2个月以前发布
交通便利，近轻轨，品质小区，精装修，,南岸,茶园新区,时代都汇D组团,3室2厅,109.96平米,东南,精装,22层,2018年建,塔楼,"12,732元/平",140,8人关注,1个月以前发布
清水正朝湖，户型很方正 ，，，,南岸,茶园新区,庆隆南山高尔夫国际社区玺馆,2室1厅,65.07平米,东,毛坯,14层,,板塔结合,"9,529元/平",62,19人关注,一年前发布
急售 一楼带大花园 近商圈 出行方便,南岸,茶园新区,江南小区,3室2厅,127.51平米,南,精装,6层,2009年建,板楼,"10,588元/平",135,5人关注,1个月以前发布
采光充足，配套设施齐全，交通便利,南岸,茶园新区,博琅郡,3室2厅,94.64平米,东南,毛坯,32层,,塔楼,"11,465元/平",108.5,14人关注,3个月以前发布
精装修正规三室，洋房品质，2梯4户，带产权车位,南岸,茶园新区,法蓝西莊邸枫丹里,3室2厅,80.92平米,南,精装,8层,2015年建,板楼,"14,336元/平",116,21人关注,6个月以前发布
茶园+鲁能+三房双卫+拎包装修入住！,南岸,茶园新区,鲁能领秀城1街区,3室2厅,83.88平米,东南,精装,23层,,塔楼,"15,737元/平",132,35人关注,6个月以前发布
户型方正，中间楼层，朝小区内，花园洋房,南岸,四公里,溯源居,4室2厅,143.56平米,南,简装,4层,2004年建,板塔结合,"12,539元/平",180,3人关注,4个月以前发布
弹子石精装跃层两房安静不吵视野好家电齐全拎包入住,南岸,弹子石,莫比时代,2室1厅,72.73平米,东南,简装,33层,2010年建,塔楼,"12,100元/平",88,32人关注,1个月以前发布
轻轨商圈房 现代住家风 南向 中庭安静 交通便利,南岸,弹子石,东海星洲,3室2厅,45.9平米,东南,简装,18层,2008年建,塔楼,"18,519元/平",85,16人关注,5个月以前发布
轻轨站旁，小区电梯房，户型好，出行方便,南岸,四公里,学府苑(南岸),3室2厅,123平米,东南,精装,25层,,板塔结合,"11,057元/平",136,9人关注,2个月以前发布
南坪五公里轻轨站旁+自住精装修三房+拎包入住,南岸,四公里,回龙湾,3室2厅,89.08平米,东南,精装,7层,2005年建,板塔结合,"13,449元/平",119.8,33人关注,1个月以前发布
金科轻轨精装三房洋房，清水价格买精装三房，业主诚售,南岸,茶园新区,金科世界城洋房区（南岸）,3室2厅,124.24平米,东南,精装,6层,2014年建,板楼,"14,408元/平",179,12人关注,3个月以前发布
正规三房，融创楼盘，采光好，小区环境优美,南岸,茶园新区,博琅郡,3室2厅,94.32平米,南,毛坯,33层,,塔楼,"11,875元/平",112,5人关注,1个月以前发布
国际社区官邸三组团正规三房，精装修，保养好,南岸,弹子石,国际社区官邸三组团,3室1厅,119.22平米,东南,精装,33层,2009年建,板楼,"14,931元/平",178,24人关注,2个月以前发布
视野开阔无遮挡 跃层三房带露台车位 开放式厨房,南岸,弹子石,蓝光COCO时代一期,3室2厅,73.97平米,南,精装,32层,2013年建,塔楼,"17,846元/平",132,22人关注,1个月以前发布
南滨路阅江阁-江景3房，楼层宜居，小区绿化面积多,南岸,弹子石,阅江阁,3室2厅,98.17平米,西,毛坯,33层,2016年建,板塔结合,"17,114元/平",168,22人关注,一年前发布
：业主安心出售 楼层采光通透.交通便利.,南岸,茶园新区,荣盛华府御珑,4室2厅,115.01平米,南 北,毛坯,中楼层(共8层),2017年建,板楼,"15,477元/平",178,21人关注,4个月以前发布
双轻轨大社区 正规三房 户型方正 采光好 视野开阔,南岸,南坪,康德国会山,3室1厅,105.12平米,东南,简装,31层,2008年建,塔楼,"12,843元/平",135,48人关注,9个月以前发布
万达商圈+龙湖天街 近轻轨商城，生活居家方便舒适,南岸,南坪,协信城,3室1厅,103.69平米,北,简装,32层,2012年建,塔楼,"15,817元/平",164,17人关注,1个月以前发布
近轻轨，房间大，楼层高无遮挡，视野开阔,南岸,六公里,万友康苑,3室1厅,84.19平米,南,精装,28层,2011年建,板塔结合,"12,591元/平",106,20人关注,1个月以前发布
正规大两房 中间楼层 住家安静 正朝南 小区中庭,南岸,四公里,巨成龙湾,2室1厅,89.84平米,南,简装,34层,2009年建,塔楼,"12,578元/平",113,77人关注,1个月以前发布
大中庭，次新小区，正规三房双卫，南北朝向,南岸,茶园新区,北斗星苑,3室2厅,111.34平米,南 北,毛坯,24层,,板塔结合,"9,431元/平",105,12人关注,2个月以前发布
此房已经满两年，高楼层，采光好，视野好，近东站,南岸,茶园新区,同景国际城香溪美岸,3室2厅,88.57平米,东 东南,精装,31层,2014年建,塔楼,"13,527元/平",119.8,61人关注,3个月以前发布
溯源阁精装三房，看房方便，配套齐全，业主诚心出售！,南岸,四公里,溯源阁,3室2厅,131.82平米,西南,精装,32层,2004年建,板塔结合,"11,304元/平",149,4人关注,1个月以前发布
茶园轻轨站旁精装三房两卫，拎包入住房子朝南视野采光,南岸,茶园新区,时代都汇D组团,3室2厅,106.8平米,东南,精装,26层,2018年建,塔楼,"12,809元/平",136.8,33人关注,4个月以前发布
清水大三房双卫+楼层好+视野好+朝向中庭,南岸,茶园新区,时代都汇A组团,3室2厅,104.01平米,西南,毛坯,24层,2014年建,塔楼,"13,845元/平",144,26人关注,3个月以前发布
户型方正两居 看树木秀丽 安静静谧 侧看江景双丰收,南岸,南滨路,阳光100国际新城,2室1厅,105.37平米,东南,精装,27层,2007年建,板塔结合,"14,236元/平",150,8人关注,一年前发布
环境优美，配套设施完善，交通便利，正三房,南岸,茶园新区,融创剑桥郡一期,3室2厅,87.33平米,南,毛坯,33层,2015年建,塔楼,"11,680元/平",102,20人关注,4个月以前发布
地铁6号线邱家湾站旁金科品质三房出售,南岸,茶园新区,金科世界城高层区（南岸）,3室2厅,108.86平米,南,精装,30层,2012年建,板塔结合,"14,239元/平",155,37人关注,2个月以前发布
弹子石南滨路 业主诚心出售，采光好，侧看江,南岸,南滨路,阳光100国际新城,2室1厅,99.6平米,南,毛坯,29层,2007年建,板塔结合,"11,848元/平",118,28人关注,3个月以前发布
墅区小高层  中间楼层 享中庭景观 配套齐全 出行方便,南岸,茶园新区,鸿笙苑宝贝的墅,3室2厅,83平米,东南,毛坯,19层,,塔楼,"12,892元/平",107,4人关注,1个月以前发布
南滨路精装大平层 看两江汇渝中来福士 视野开阔无遮挡,南岸,南滨路,阳光100国际新城,3室1厅,153.33平米,西,精装,37层,2007年建,板塔结合,"19,566元/平",300,36人关注,1个月以前发布
弹子石 东海长洲 跃层2房加书房 业主诚心卖 满两年,南岸,弹子石,东海长洲,3室2厅,44.93平米,东南,简装,20层,2008年建,塔楼,"17,583元/平",79,34人关注,一年前发布
江山多娇住家装修三房双卫 价格实惠 业主诚心,南岸,丹龙路,江山多娇,3室1厅,129.89平米,西南,精装,16层,2002年建,板楼,"9,855元/平",128,11人关注,11个月以前发布
房子精装，修户型方正，采光好。,南岸,弹子石,海悦府,3室2厅,97.47平米,东南,精装,32层,2013年建,塔楼,"17,339元/平",169,24人关注,3个月以前发布
环线海峡路站旁，龙湖品质大社区，精装看中庭大三房,南岸,融侨半岛,龙湖观山水,3室1厅,121.76平米,南,精装,32层,2008年建,塔楼,"12,320元/平",150,58人关注,8个月以前发布
此房为自己住家装修保持好，诚心出售，业主随时能签约,南岸,弹子石,龙湖郦江,2室1厅,89.28平米,东南,精装,26层,2008年建,板楼,"15,794元/平",141,15人关注,3个月以前发布
清水正三房118平业主急售150万可谈,南岸,茶园新区,同景国际城香溪美岸,3室2厅,118.91平米,南,毛坯,29层,2014年建,塔楼,"11,101元/平",132,3人关注,4个月以前发布
大花园  业主精装住家 现代轻奢风 专业设计师设计,南岸,茶园新区,同景国际城A区,3室2厅,123.06平米,东南,精装,6层,,板塔结合,"14,587元/平",179.5,9人关注,1个月以前发布
南岸融侨城江云渡 清水跃层出售 看房方便,南岸,融侨半岛,融侨城江云渡,5室2厅,213.9平米,南,毛坯,11层,2012年建,板塔结合,"12,834元/平",274.5,68人关注,一年前发布
精装两房带40平米露台 住家装修 风格清新,南岸,茶园新区,法蓝西莊邸枫丹里,2室1厅,67.08平米,东,精装,9层,2015年建,板楼,"16,548元/平",111,27人关注,2个月以前发布
视野开阔无遮挡，大三房，精装修采光好，直享成熟配套,南岸,弹子石,蓝光COCO时代三期,3室2厅,78.8平米,东南,精装,29层,2015年建,板塔结合,"16,841元/平",132.7,41人关注,4个月以前发布
国际社区精装三房，安静朝中庭中间楼层采光好,南岸,弹子石,国际社区观园一期,3室1厅,78.16平米,北,精装,33层,2010年建,塔楼,"15,226元/平",119,11人关注,2个月以前发布
南滨路天空森林城市 有院馆   看南山视野开阔..,南岸,南滨路,南滨特区,4室1厅,224.75平米,北,毛坯,30层,2018年建,塔楼,"16,330元/平",367,60人关注,一年前发布
出现方便 生活配套齐全 小区环境好 户型好可拎包入住,南岸,四公里,江南国际新城,3室2厅,113平米,西南,精装,32层,2005年建,板塔结合,"12,213元/平",138,4人关注,2个月以前发布
同景B区洋房+屋顶花园+实得260平+首排正看茶山竹海,南岸,茶园新区,同景国际城B区,4室2厅,126.31平米,东南,毛坯,6层,,板塔结合,"9,976元/平",126,27人关注,5个月以前发布
3房2卫精装修，带200㎡大露台。诚心出售,南岸,茶园新区,奥园越时代C区,3室1厅,91.12平米,东南,精装,16层,,塔楼,"15,145元/平",138,10人关注,4个月以前发布
南滨路 弹子石商圈 轻轨大三房 业主急卖！急！急！急,南岸,弹子石,东海星洲,3室2厅,85.95平米,南,精装,34层,2008年建,塔楼,"12,566元/平",108,20人关注,5个月以前发布
紫金一品大三房 清水可自行装修 视野开阔 看群慧公园,南岸,弹子石,紫金一品,3室2厅,117.19平米,西南,毛坯,32层,2018年建,塔楼,"16,111元/平",188.8,12人关注,2个月以前发布
环境好，宜居，生活成本低，电梯房,南岸,茶园新区,凤华康城A区,3室1厅,108.73平米,南,精装,18层,2016年建,塔楼,"10,255元/平",111.5,43人关注,3个月以前发布
南滨路，精装修三房，江景视野开阔，业主诚心出售,南岸,南滨路,和记黄埔珊瑚水岸二期,3室2厅,130.4平米,北,精装,14层,2013年建,塔楼,"16,143元/平",210.5,22人关注,1个月以前发布
铂悦澜庭 4室2厅 西,南岸,弹子石,铂悦澜庭,4室2厅,276.91平米,西,毛坯,8层,,塔楼,"12,532元/平",347,12人关注,3个月以前发布
户型方正，设计合理，没得浪费面积,南岸,茶园新区,同景国际城W组团,3室1厅,47.85平米,南,精装,高楼层(共14层),2014年建,塔楼,"15,883元/平",76,8人关注,5个月以前发布
国际社区观园一期 2室1厅 西 北,南岸,弹子石,国际社区观园一期,2室1厅,74.99平米,西 北,精装,33层,2010年建,塔楼,"16,269元/平",122,3人关注,8天以前发布
弹子石香雨蓝苑精装三房拎包入住，,南岸,弹子石,香雨蓝苑,3室1厅,85.69平米,南,精装,26层,2015年建,塔楼,"16,572元/平",142,1人关注,6天以前发布
环线10号线双轻轨+正规三房一卫+朝向正南+视野开阔,南岸,四公里,巨成龙湾,3室2厅,88.88平米,南,精装,34层,2009年建,塔楼,"13,952元/平",124,13人关注,26天以前发布
四公里轻轨站旁小两房 住家装修 从未出租过 方便看房,南岸,四公里,鑫茂源e时代,2室2厅,49.23平米,东南,精装,27层,2009年建,塔楼,"13,001元/平",64,4人关注,29天以前发布
六公里 装修大一房，采光好，户型方正,南岸,六公里,山千院西苑,1室1厅,50.69平米,南,简装,26层,2012年建,塔楼,"13,810元/平",70,3人关注,23天以前发布
